Age,Men in 1900,Women in 1900,Men in 2000,Women in 2000
0 to 4,4619544,4589196,9735380,9310714
5 to 9,4465783,4390483,10552146,10069564
10 to 14,4057669,4001749,10563233,10022524
15 to 19,3774846,3801743,10237419,9692669
20 to 24,3694038,3751061,9731315,9324244
25 to 29,3389280,3236056,9659493,9518507
30 to 34,2918964,2665174,10205879,10119296
35 to 39,2633883,2347737,11475182,11635647
40 to 44,2261070,2004987,11320252,11488578
45 to 49,1868413,1648025,9925006,10261253
50 to 54,1571038,1411981,8507934,8911133
55 to 59,1161908,1064632,6459082,6921268
60 to 64,916571,887508,5123399,5668961
65 to 69,672663,640212,4453623,4804784
70 to 74,454747,440007,3792145,5184855
75 to 79,268211,265879,2912655,4355644
80 to 84,127435,132449,1902638,3221898
85 to 89,44008,48614,970357,1981156
90 to 94,15164,20093,336303,1064581
